*******************************************************************************
Ephemeris / WWW_USER Thu Jun  8 09:32:56 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2017 EA)                       {source: JPL#2}
Center body name: Earth (399)                     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Mar-01 00:00:00.0000 TDB
Stop  time      : A.D. 2017-Mar-04 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457814.5 ! 2017-Mar-02.00 (TDB)         Residual RMS= .2704         
   EC= .6637903807322831   QR= .7400230207428129   TP= 2457857.4253634126      
   OM= 161.8980155037973   W=  68.66986798856206   IN= 2.54916135011202        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-9.443262483675667E-01  Y= 2.933073821891305E-01  Z= 1.266662031174088E-01
  VX= 2.985660714580667E-03 VY=-1.979398519079220E-02 VZ=-7.648803848027207E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 30.8                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2457813.514583333, A.D. 2017-Mar-01 00:21:00.0000, -2.073553918661535E+06,  1.119296558815809E+06, -1.935238312671767E+05,  1.516934538309694E+01, -8.357526770165146E+00,  1.478269156113253E+00,
2457813.515277778, A.D. 2017-Mar-01 00:22:00.0000, -2.072643758210450E+06,  1.118795107224484E+06, -1.934351350900444E+05,  1.516933632215427E+01, -8.357526274721213E+00,  1.478270081854506E+00,
2457813.515972222, A.D. 2017-Mar-01 00:23:00.0000, -2.071733598302722E+06,  1.118293655662766E+06, -1.933464388573566E+05,  1.516932726922636E+01, -8.357525782884951E+00,  1.478271007730438E+00,
2457813.516666667, A.D. 2017-Mar-01 00:24:00.0000, -2.070823438937962E+06,  1.117792204130454E+06, -1.932577425691142E+05,  1.516931822431784E+01, -8.357525294658508E+00,  1.478271933741408E+00,
2457813.517361111, A.D. 2017-Mar-01 00:25:00.0000, -2.069913280115664E+06,  1.117290752627340E+06, -1.931690462253053E+05,  1.516930918743338E+01, -8.357524810044106E+00,  1.478272859887830E+00,
2457813.518055555, A.D. 2017-Mar-01 00:26:00.0000, -2.069003121835291E+06,  1.116789301153191E+06, -1.930803498259292E+05,  1.516930015857762E+01, -8.357524329043910E+00,  1.478273786170067E+00,
2457813.518750000, A.D. 2017-Mar-01 00:27:00.0000, -2.068092964096487E+06,  1.116287849707787E+06, -1.929916533709646E+05,  1.516929113775526E+01, -8.357523851660119E+00,  1.478274712588509E+00,
2457813.519444444, A.D. 2017-Mar-01 00:28:00.0000, -2.067182806898594E+06,  1.115786398290909E+06, -1.929029568604100E+05,  1.516928212497096E+01, -8.357523377894960E+00,  1.478275639143562E+00,
2457813.520138889, A.D. 2017-Mar-01 00:29:00.0000, -2.066272650241315E+06,  1.115284946902356E+06, -1.928142602942666E+05,  1.516927312022940E+01, -8.357522907750589E+00,  1.478276565835585E+00,
2457813.520833333, A.D. 2017-Mar-01 00:30:00.0000, -2.065362494124055E+06,  1.114783495541910E+06, -1.927255636725059E+05,  1.516926412353529E+01, -8.357522441229255E+00,  1.478277492664983E+00,
2457813.521527778, A.D. 2017-Mar-01 00:31:00.0000, -2.064452338546336E+06,  1.114282044209334E+06, -1.926368669951379E+05,  1.516925513489333E+01, -8.357521978333136E+00,  1.478278419632138E+00,
2457813.522222222, A.D. 2017-Mar-01 00:32:00.0000, -2.063542183507711E+06,  1.113780592904431E+06, -1.925481702621430E+05,  1.516924615430823E+01, -8.357521519064472E+00,  1.478279346737443E+00,
2457813.522916667, A.D. 2017-Mar-01 00:33:00.0000, -2.062632029007643E+06,  1.113279141626988E+06, -1.924594734735297E+05,  1.516923718178469E+01, -8.357521063425471E+00,  1.478280273981283E+00,
2457813.523611111, A.D. 2017-Mar-01 00:34:00.0000, -2.061721875045687E+06,  1.112777690376749E+06, -1.923707766292685E+05,  1.516922821732746E+01, -8.357520611418344E+00,  1.478281201364050E+00,
2457813.524305556, A.D. 2017-Mar-01 00:35:00.0000, -2.060811721621394E+06,  1.112276239153535E+06, -1.922820797293592E+05,  1.516921926094127E+01, -8.357520163045351E+00,  1.478282128886145E+00,
2457813.525000000, A.D. 2017-Mar-01 00:36:00.0000, -2.059901568734258E+06,  1.111774787957114E+06, -1.921933827737945E+05,  1.516921031263086E+01, -8.357519718308687E+00,  1.478283056547941E+00,
2457813.525694444, A.D. 2017-Mar-01 00:37:00.0000, -2.058991416383713E+06,  1.111273336787268E+06, -1.921046857625728E+05,  1.516920137240097E+01, -8.357519277210621E+00,  1.478283984349853E+00,
2457813.526388889, A.D. 2017-Mar-01 00:38:00.0000, -2.058081264569402E+06,  1.110771885643772E+06, -1.920159886956699E+05,  1.516919244025637E+01, -8.357518839753375E+00,  1.478284912292260E+00,
2457813.527083333, A.D. 2017-Mar-01 00:39:00.0000, -2.057171113290697E+06,  1.110270434526418E+06, -1.919272915730935E+05,  1.516918351620183E+01, -8.357518405939196E+00,  1.478285840375556E+00,
2457813.527777778, A.D. 2017-Mar-01 00:40:00.0000, -2.056260962547272E+06,  1.109768983434990E+06, -1.918385943948224E+05,  1.516917460024212E+01, -8.357517975770334E+00,  1.478286768600144E+00,
2457813.528472222, A.D. 2017-Mar-01 00:41:00.0000, -2.055350812338531E+06,  1.109267532369259E+06, -1.917498971608589E+05,  1.516916569238202E+01, -8.357517549249033E+00,  1.478287696966412E+00,
2457813.529166667, A.D. 2017-Mar-01 00:42:00.0000, -2.054440662664056E+06,  1.108766081329003E+06, -1.916611998711884E+05,  1.516915679262632E+01, -8.357517126377571E+00,  1.478288625474760E+00,
2457813.529861111, A.D. 2017-Mar-01 00:43:00.0000, -2.053530513523251E+06,  1.108264630314015E+06, -1.915725025258023E+05,  1.516914790097983E+01, -8.357516707158187E+00,  1.478289554125583E+00,
2457813.530555556, A.D. 2017-Mar-01 00:44:00.0000, -2.052620364915788E+06,  1.107763179324073E+06, -1.914838051246892E+05,  1.516913901744735E+01, -8.357516291593159E+00,  1.478290482919280E+00,
2457813.531250000, A.D. 2017-Mar-01 00:45:00.0000, -2.051710216841012E+06,  1.107261728358958E+06, -1.913951076678479E+05,  1.516913014203370E+01, -8.357515879684748E+00,  1.478291411856249E+00,
2457813.531944444, A.D. 2017-Mar-01 00:46:00.0000, -2.050800069298565E+06,  1.106760277418448E+06, -1.913064101552671E+05,  1.516912127474370E+01, -8.357515471435249E+00,  1.478292340936893E+00,
2457813.532638889, A.D. 2017-Mar-01 00:47:00.0000, -2.049889922287881E+06,  1.106258826502312E+06, -1.912177125869326E+05,  1.516911241558218E+01, -8.357515066846922E+00,  1.478293270161605E+00,
2457813.533333333, A.D. 2017-Mar-01 00:48:00.0000, -2.048979775808543E+06,  1.105757375610335E+06, -1.911290149628395E+05,  1.516910356455399E+01, -8.357514665922036E+00,  1.478294199530783E+00,
2457813.534027778, A.D. 2017-Mar-01 00:49:00.0000, -2.048069629859984E+06,  1.105255924742331E+06, -1.910403172829847E+05,  1.516909472166398E+01, -8.357514268662916E+00,  1.478295129044843E+00,
2457813.534722222, A.D. 2017-Mar-01 00:50:00.0000, -2.047159484441757E+06,  1.104754473898031E+06, -1.909516195473496E+05,  1.516908588691699E+01, -8.357513875071826E+00,  1.478296058704176E+00,
2457813.535416667, A.D. 2017-Mar-01 00:51:00.0000, -2.046249339553386E+06,  1.104253023077242E+06, -1.908629217559311E+05,  1.516907706031791E+01, -8.357513485151067E+00,  1.478296988509183E+00,
2457813.536111111, A.D. 2017-Mar-01 00:52:00.0000, -2.045339195194334E+06,  1.103751572279736E+06, -1.907742239087319E+05,  1.516906824187159E+01, -8.357513098902947E+00,  1.478297918460277E+00,
2457813.536805556, A.D. 2017-Mar-01 00:53:00.0000, -2.044429051364183E+06,  1.103250121505305E+06, -1.906855260057232E+05,  1.516905943158294E+01, -8.357512716329762E+00,  1.478298848557854E+00,
2457813.537500000, A.D. 2017-Mar-01 00:54:00.0000, -2.043518908062398E+06,  1.102748670753701E+06, -1.905968280468985E+05,  1.516905062945682E+01, -8.357512337433809E+00,  1.478299778802317E+00,
2457813.538194444, A.D. 2017-Mar-01 00:55:00.0000, -2.042608765288472E+06,  1.102247220024744E+06, -1.905081300322611E+05,  1.516904183549815E+01, -8.357511962217428E+00,  1.478300709194076E+00,
2457813.538888889, A.D. 2017-Mar-01 00:56:00.0000, -2.041698623041987E+06,  1.101745769318166E+06, -1.904194319617921E+05,  1.516903304971184E+01, -8.357511590682915E+00,  1.478301639733537E+00,
2457813.539583333, A.D. 2017-Mar-01 00:57:00.0000, -2.040788481322378E+06,  1.101244318633773E+06, -1.903307338354888E+05,  1.516902427210279E+01, -8.357511222832599E+00,  1.478302570421110E+00,
2457813.540277778, A.D. 2017-Mar-01 00:58:00.0000, -2.039878340129167E+06,  1.100742867971365E+06, -1.902420356533421E+05,  1.516901550267594E+01, -8.357510858668816E+00,  1.478303501257200E+00,
2457813.540972222, A.D. 2017-Mar-01 00:59:00.0000, -2.038968199461877E+06,  1.100241417330660E+06, -1.901533374153341E+05,  1.516900674143622E+01, -8.357510498193882E+00,  1.478304432242215E+00,
2457813.541666667, A.D. 2017-Mar-01 01:00:00.0000, -2.038058059320033E+06,  1.099739966711490E+06, -1.900646391214705E+05,  1.516899798838856E+01, -8.357510141410131E+00,  1.478305363376557E+00,
2457813.542361111, A.D. 2017-Mar-01 01:01:00.0000, -2.037147919703096E+06,  1.099238516113624E+06, -1.899759407717273E+05,  1.516898924353793E+01, -8.357509788319916E+00,  1.478306294660652E+00,
2457813.543055556, A.D. 2017-Mar-01 01:02:00.0000, -2.036237780610651E+06,  1.098737065536818E+06, -1.898872423661046E+05,  1.516898050688927E+01, -8.357509438925570E+00,  1.478307226094903E+00,
2457813.543750000, A.D. 2017-Mar-01 01:03:00.0000, -2.035327642042130E+06,  1.098235614980879E+06, -1.897985439045959E+05,  1.516897177844756E+01, -8.357509093229456E+00,  1.478308157679719E+00,
2457813.544444445, A.D. 2017-Mar-01 01:04:00.0000, -2.034417503997028E+06,  1.097734164445564E+06, -1.897098453871848E+05,  1.516896305821777E+01, -8.357508751233901E+00,  1.478309089415509E+00,
2457813.545138889, A.D. 2017-Mar-01 01:05:00.0000, -2.033507366474956E+06,  1.097232713930657E+06, -1.896211468138596E+05,  1.516895434620488E+01, -8.357508412941272E+00,  1.478310021302693E+00,
2457813.545833333, A.D. 2017-Mar-01 01:06:00.0000, -2.032597229475349E+06,  1.096731263435939E+06, -1.895324481846222E+05,  1.516894564241390E+01, -8.357508078353952E+00,  1.478310953341686E+00,
2457813.546527778, A.D. 2017-Mar-01 01:07:00.0000, -2.031687092997700E+06,  1.096229812961180E+06, -1.894437494994585E+05,  1.516893694684982E+01, -8.357507747474280E+00,  1.478311885532896E+00,
2457813.547222222, A.D. 2017-Mar-01 01:08:00.0000, -2.030776957041532E+06,  1.095728362506159E+06, -1.893550507583539E+05,  1.516892825951766E+01, -8.357507420304636E+00,  1.478312817876745E+00,
2457813.547916667, A.D. 2017-Mar-01 01:09:00.0000, -2.029866821606398E+06,  1.095226912070673E+06, -1.892663519613094E+05,  1.516891958042242E+01, -8.357507096847392E+00,  1.478313750373639E+00,
2457813.548611111, A.D. 2017-Mar-01 01:10:00.0000, -2.028956686691761E+06,  1.094725461654477E+06, -1.891776531083085E+05,  1.516891090956914E+01, -8.357506777104941E+00,  1.478314683024005E+00,
2457813.549305555, A.D. 2017-Mar-01 01:11:00.0000, -2.028046552297056E+06,  1.094224011257334E+06, -1.890889541993373E+05,  1.516890224696287E+01, -8.357506461079652E+00,  1.478315615828254E+00,
